Electronic Technology
AAPL
AAXN
ACIA
ACLS
ADI
ADTN
AEHR
AEIS
AMBA
AMD
AMKR
ANET
APH
AVGO
BA
BHE
BRKS
CAJ
CCMP
CIEN
CLS
COHR
COMM
CREE
CRUS
CW
DELL
ENTG
ERIC
ERJ
FLEX
FLIR
FN
FSLR
FTNT
FTV
GD
GE
GLW
GRMN
HEI
HOLI
HPQ
HXL
IDCC
IIVI
INTC
ITRI
JBL
KEYS
KLAC
KLIC
KN
LMT
LOGI
LPL
LRCX
LSCC
MCHP
MKSI
MPWR
MRCY
MRVL
MSI
MSTC
MSTI
MU
MXIM
NCR
NOC
NOK
NOVT
NTAP
NVDA
NVTT
NXPI
OLED
OSIS
PANW
POWI
PSTG
QCOM
ROP
SANM
SATS
SIMO
SLAB
SMTC
STM
SWKS
SYNA
TDC
TDG
TEL
TER
TSM
TTMI
TXN
TXT
UMC
VIAV
